Date,EU27
1980-06-30,2229.912939766477
1980-07-01,2123.889325943548
1980-07-02,2153.9070353649136
1980-07-03,2038.926696848488
1980-07-04,1669.3430936704908
1980-07-05,1538.105532595523
1980-07-06,1439.7723252216963
1980-07-07,1792.94008361081
1980-07-08,2026.3768702826217
1980-07-09,2033.2947196343223
1980-07-10,2368.342018901565
1980-07-11,2066.088950125916
1980-07-12,1854.858152713647
1980-07-13,1837.843598231201
1980-07-14,1813.31480428183
1980-07-15,1891.538512995317
1980-07-16,2293.61198720009
1980-07-17,2262.794914312816
1980-07-18,2349.360697701545
1980-07-19,2157.670048183136
1980-07-20,2274.5924672132223
1980-07-21,2724.1594464717514
1980-07-22,2238.4635459195497
1980-07-23,1864.1573987874476
